Time FPS-0 FVS-0 FVT-0 FDS-0 SHD-0 SB-0 PIN-0 WHB-0 WHT-0
0.000000e+00 121.690937 48006.605433 3784.227001 2287.866454 1212.218693 0.020294 28.823982 0.000000 57.913600
1.000000e+00 121.690937 48006.605433 3784.227001 2287.866454 1212.218693 0.020294 28.823982 0.000000 57.913600
2.000000e+00 121.690937 48006.605433 3784.227001 2287.866454 1212.218693 0.020294 28.823982 0.000000 57.913600
3.000000e+00 121.690937 48006.605433 3784.227001 2287.866454 1212.218693 0.020294 28.823982 0.000000 57.913600
4.000000e+00 121.690937 48006.605433 3784.227001 2287.866454 1212.218693 0.020294 28.823982 0.000000 57.913600
5.000000e+00 121.690937 48006.605433 3784.227001 2287.866454 1212.218693 0.020294 28.823982 0.000000 57.913600
6.000000e+00 121.690937 48006.605433 3784.227001 2287.866454 1212.218693 0.020294 28.823982 0.000000 57.913600
7.000000e+00 121.690937 48006.605433 3784.227001 2287.866454 1212.218693 0.020294 28.823982 0.000000 57.913600
8.000000e+00 121.690937 48006.605433 3784.227001 2287.866454 1212.218693 0.020294 28.823982 0.000000 57.913600
9.000000e+00 121.690937 48006.605433 3784.227001 2287.866454 1212.218693 0.020294 28.823982 0.000000 57.913600
1.000000e+01 121.690937 48006.605433 3784.227001 2287.866454 1212.218693 0.020294 28.823982 0.000000 57.913600
1.100000e+01 121.690937 48006.605433 3784.227001 2287.866454 1212.218693 0.020294 28.823982 0.000000 57.913600
1.200000e+01 121.690937 48006.605433 3784.227001 2287.866454 1212.218693 0.020294 28.823982 0.000000 57.913600
1.300000e+01 121.690937 4435540.284690 857.134080 2287.866454 1212.218693 0.020294 28.823982 0.000000 57.913600
1.400000e+01 121.690937 4435540.284690 857.134080 2287.866454 1212.218693 0.020294 28.823982 0.000000 57.913600
1.500000e+01 121.690937 4435540.284690 857.134080 2287.866454 1212.218693 0.020294 28.823982 0.000000 57.913600
1.600000e+01 121.690937 4435540.284690 857.134080 2287.866454 1212.218693 0.020294 28.823982 0.000000 57.913600
1.700000e+01 121.690937 4435540.284690 857.134080 2287.866454 1212.218693 0.020294 28.823982 0.000000 57.913600
1.800000e+01 121.690937 4435540.284690 857.134080 2287.866454 1212.218693 0.020294 28.823982 0.000000 57.913600
1.900000e+01 121.690937 4435540.284690 857.134080 2287.866454 1212.218693 0.020294 28.823982 0.000000 57.913600
2.000000e+01 121.690937 4435540.284690 857.134080 2287.866454 1212.218693 0.020294 28.823982 0.000000 57.913600
2.100000e+01 121.690937 4435540.284690 857.134080 2287.866454 1212.218693 0.020294 28.823982 0.000000 57.913600
2.200000e+01 121.690937 4435540.284690 857.134080 2287.866454 1212.218693 0.020294 28.823982 0.000000 57.913600
2.300000e+01 121.690937 4435540.284690 857.134080 2287.866454 1212.218693 0.020294 28.823982 0.000000 57.913600
2.400000e+01 121.690937 4435540.284690 857.134080 2287.866454 1212.218693 0.020294 28.823982 0.000000 57.913600
