Time  FPS FVS FVT FDS SHD SB PIN WHB WHT
1.350000e+03 356920.721609 53975.213283 0.000000 68405.732693 5323.557970 21.688709 462.080180 471.958465 498.906710
1.380000e+03 356920.721609 53975.213283 0.000000 68405.732693 5323.557970 21.688709 462.080180 471.958465 504.257720
1.410000e+03 356920.721609 53975.213283 0.000000 68405.732693 5323.557970 18.875659 471.477688 471.958465 504.257720
1.440000e+03 356920.721609 53975.213283 0.000000 68405.732693 5323.557970 18.875659 471.477688 471.958465 504.257720
1.460000e+03 356920.721609 53975.213283 0.000000 68405.732693 5323.557970 18.875659 471.477688 471.958465 504.257720
1.470000e+03 356920.721609 0.000000 0.000000 68405.732693 5323.557970 18.875659 471.477688 471.958465 504.257720
1.500000e+03 356920.721609 81711.383299 0.000000 68405.732693 5323.557970 18.875659 471.477688 471.958465 504.257720
1.530000e+03 356920.721609 81711.383299 0.000000 68405.732693 5323.557970 18.875659 471.477688 471.958465 504.257720
1.560000e+03 356920.721609 81711.383299 0.000000 83350.131647 5323.557970 18.875659 471.477688 471.958465 504.257720
1.590000e+03 356920.721609 81711.383299 0.000000 83350.131647 5323.557970 18.875659 471.477688 471.958465 504.257720
1.620000e+03 403803.739468 81711.383299 0.000000 83350.131647 5323.557970 18.875659 471.477688 471.958465 504.257720
1.650000e+03 403803.739468 81711.383299 0.000000 83350.131647 5323.557970 18.875659 471.477688 471.958465 504.257720
1.680000e+03 403803.739468 81711.383299 0.000000 83350.131647 5323.557970 18.875659 471.477688 0.000000 504.257720
1.710000e+03 403803.739468 81711.383299 0.000000 83350.131647 5834.734508 18.875659 471.477688 474.390322 504.257720
1.740000e+03 403803.739468 81711.383299 0.000000 83350.131647 5834.734508 18.875659 471.477688 474.390322 0.000000
1.770000e+03 403803.739468 81711.383299 0.000000 83350.131647 5834.734508 16.111485 480.987380 474.390322 512.944447
1.800000e+03 403803.739468 81711.383299 0.000000 83350.131647 5834.734508 16.111485 480.987380 474.390322 512.944447
1.824500e+03 403803.739468 81711.383299 0.000000 83350.131647 5834.734508 16.111485 480.987380 474.390322 512.944447
