Time Predator Cohort Stock Updated FPS FVS FVT FDS SHD SB PIN WHB WHT CEP BFS BFF BG BMD BML BMS ZL BD MA SG BC ZG PL PS ZM ZS PB BB BO DL DR DC
3.000000e+01 FPS 0 0 0 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.158584e-02 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 4.239469e-03 1.901018e-02 7.845557e-01 4.454175e-03 1.761546e-01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
3.000000e+01 FPS 1 0 0 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.158592e-02 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 4.239495e-03 1.901050e-02 7.845560e-01 4.454213e-03 1.761539e-01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
3.000000e+01 FPS 2 0 0 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 9.484733e-03 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 3.706936e-03 1.405588e-02 8.156930e-01 3.686954e-03 1.533725e-01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
3.000000e+01 FPS 3 0 0 1.614239e-06 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 7.304787e-03 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 3.148688e-03 1.823987e-02 8.110398e-01 3.781591e-03 1.564836e-01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
3.000000e+01 FPS 4 0 0 1.614239e-06 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 7.304787e-03 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 3.148688e-03 1.823987e-02 8.110398e-01 3.781591e-03 1.564836e-01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
3.000000e+01 FPS 5 0 0 5.403868e-06 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 7.304756e-03 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 3.148682e-03 1.823975e-02 8.110365e-01 3.781576e-03 1.564833e-01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
3.000000e+01 FPS 6 0 0 5.403868e-06 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 7.304756e-03 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 3.148682e-03 1.823975e-02 8.110365e-01 3.781576e-03 1.564833e-01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
3.000000e+01 FPS 7 0 0 5.403868e-06 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 7.304756e-03 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 3.148682e-03 1.823975e-02 8.110365e-01 3.781576e-03 1.564833e-01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
3.000000e+01 FPS 8 0 0 5.403868e-06 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 7.304756e-03 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 3.148682e-03 1.823975e-02 8.110365e-01 3.781576e-03 1.564833e-01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
3.000000e+01 FPS 9 0 0 5.403868e-06 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 7.304756e-03 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 3.148682e-03 1.823975e-02 8.110365e-01 3.781576e-03 1.564833e-01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
3.000000e+01 FVS 0 0 1 3.920303e-03 0.000000e+00 0.000000e+00 1.253823e-03 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.422953e-01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 2.656170e-01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.383017e-02 6.816468e-02 4.938579e-01 1.106080e-02 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
3.000000e+01 FVS 1 0 1 3.918738e-03 0.000000e+00 0.000000e+00 2.527329e-03 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.421776e-01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 2.654210e-01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.382098e-02 6.815486e-02 4.929270e-01 1.105255e-02 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
3.000000e+01 FVS 2 0 1 6.766452e-04 1.061656e-03 0.000000e+00 1.268523e-03 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.426815e-01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 2.663471e-01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.386763e-02 6.839979e-02 4.946063e-01 1.109094e-02 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
3.000000e+01 FVS 3 0 1 6.774885e-04 1.062113e-03 0.000000e+00 1.272986e-03 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.427749e-01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 2.665410e-01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.387774e-02 6.850836e-02 4.941867e-01 1.109873e-02 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
3.000000e+01 FVS 4 0 1 6.800739e-04 1.063482e-03 0.000000e+00 1.286806e-03 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.430616e-01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 2.671318e-01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.390894e-02 6.884430e-02 4.929005e-01 1.112249e-02 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
3.000000e+01 FVS 5 0 1 6.800739e-04 1.063482e-03 0.000000e+00 1.286806e-03 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.430616e-01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 2.671318e-01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.390894e-02 6.884430e-02 4.929005e-01 1.112249e-02 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
3.000000e+01 FVS 6 0 1 6.800739e-04 1.063482e-03 0.000000e+00 1.286806e-03 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.430616e-01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 2.671318e-01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.390894e-02 6.884430e-02 4.929005e-01 1.112249e-02 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
3.000000e+01 FVS 7 0 1 6.800739e-04 1.063482e-03 0.000000e+00 1.286806e-03 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.430616e-01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 2.671318e-01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.390894e-02 6.884430e-02 4.929005e-01 1.112249e-02 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
3.000000e+01 FVS 8 0 1 6.800739e-04 1.063482e-03 0.000000e+00 1.286806e-03 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.430616e-01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 2.671318e-01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.390894e-02 6.884430e-02 4.929005e-01 1.112249e-02 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
3.000000e+01 FVS 9 0 1 6.800739e-04 1.063482e-03 0.000000e+00 1.286806e-03 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.430616e-01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 2.671318e-01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.390894e-02 6.884430e-02 4.929005e-01 1.112249e-02 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
3.000000e+01 FVT 0 0 1 6.026513e-01 7.018399e-02 0.000000e+00 1.082028e-02 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.551019e-01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.612426e-01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
3.000000e+01 FVT 1 0 1 5.738701e-01 1.060769e-01 1.613573e-04 1.071244e-02 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.531145e-01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.560647e-01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
3.000000e+01 FVT 2 0 1 5.736558e-01 1.058925e-01 1.616778e-04 1.070310e-02 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.530321e-01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.565548e-01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
3.000000e+01 FVT 3 0 1 5.737850e-01 1.060096e-01 1.614800e-04 1.070888e-02 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.530858e-01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.562492e-01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
