Time FPS FVS FVT FDS SHD SB PIN WHB WHT CEP BFS BFF BG BMD BML BMS ZL BD MA SG BC ZG PL PS ZM ZS PB BB BO DL DR DC DIN RelFPS RelFVS RelFVT RelFDS RelSHD RelSB RelPIN RelWHB RelWHT RelCEP RelBFS RelBFF RelBG RelBMD RelBML RelBMS RelZL RelBD RelMA RelSG RelBC RelZG RelPL RelPS RelZM RelZS RelPB RelBB RelBO RelDL RelDR RelDC RelDIN PelDemRatio PiscivPlankRatio DivCount InfEpiRatio BSSslope HabitCover
1.000000e+01 133022.708712 72919.108019 11781.708088 72364.529602 15090.721480 87.972478 1065.321274 1384.896738 1511.898444 76807.552131 24496.584830 244596.100934 2475.901665 329954.821639 2469.015024 19614.827518 1019707.784405 1035967.138741 2447106.477672 2447.080575 1246455.787882 4255588.347809 5148663.967674 61513153.235891 741983.176764 42628809.584798 16562304.769730 2080715.034319 2077835.295765 10491181.878314 41609946.143117 0.000000 4305077045.855078 0.992674 0.994613 0.998860 1.002456 0.989225 1.031735 0.993486 1.013877 0.999687 1.025053 1.000987 0.999476 1.011710 0.999950 1.008896 1.001884 1.127352 0.997129 0.999944 0.999933 0.999772 1.135878 1.693232 1.087430 1.132508 1.137194 44.207202 1.001355 0.999969 1.009787 1.001250 1.000000 2.028518 0.000942 0.000000 23.200000 9.552114 -9449.793005 0.091967
1.100000e+01 132930.158545 72487.030145 9283.605322 72382.236165 15075.152078 87.972468 1064.645225 1384.896738 1511.851548 76797.345406 24499.020469 244583.520305 2478.738405 329953.156169 2471.191163 19618.409438 1019648.081920 1035683.892394 2447092.791607 2447.064324 1246428.767302 4255578.513889 5147864.313781 61499955.050619 742139.009954 42634421.255494 17430013.401846 2081045.634790 2077829.166017 10499846.256531 41614926.646354 0.000000 4305216550.263956 0.991983 0.988719 0.787069 1.002701 0.988205 1.031735 0.992855 1.013877 0.999656 1.024916 1.001086 0.999424 1.012869 0.999944 1.009785 1.002066 1.127286 0.996857 0.999938 0.999927 0.999751 1.135876 1.692969 1.087197 1.132746 1.137344 46.523242 1.001514 0.999966 1.010621 1.001370 1.000000 2.028584 0.000942 0.000000 23.200000 9.551505 -9443.149170 0.091963
1.200000e+01 132837.438786 72452.812749 9282.840218 72399.947093 15059.659157 87.972458 1063.957911 1384.896738 1511.804477 76787.083039 24501.492335 244570.763622 2481.593312 329951.489180 2473.404242 19622.044337 1019588.676898 1035400.277604 2447078.954449 2447.047970 1246401.693608 4255568.600959 5147061.927656 61485975.632046 742298.018522 42640039.035795 18141745.271976 2081386.741608 2077823.026592 10508355.579871 41619875.464251 0.000000 4305339974.009044 0.991292 0.988253 0.787005 1.002947 0.987189 1.031734 0.992214 1.013877 0.999625 1.024779 1.001187 0.999372 1.014036 0.999939 1.010690 1.002252 1.127220 0.996584 0.999933 0.999920 0.999729 1.135873 1.692705 1.086950 1.132989 1.137494 48.422958 1.001678 0.999963 1.011440 1.001489 1.000000 2.028642 0.000943 0.000000 23.200000 9.550897 -9436.493160 0.091960
1.300000e+01 132745.342974 72419.208330 9282.075431 72417.652005 15044.313496 87.972448 1063.272152 1384.896738 1511.757405 76776.823701 24503.964127 244557.997622 2484.451410 329949.822279 2475.622616 19625.679643 1019529.385193 1035116.829686 2447065.107925 2447.031589 1246374.618321 4255558.689092 5146256.340339 61471521.864232 742457.063161 42645675.713348 18730696.450383 2081737.589218 2077816.889413 10516734.974787 41624788.827786 0.000000 4305451096.745664 0.990604 0.987794 0.786940 1.003192 0.986183 1.031734 0.991575 1.013877 0.999594 1.024643 1.001288 0.999320 1.015204 0.999934 1.011596 1.002438 1.127155 0.996311 0.999927 0.999913 0.999707 1.135871 1.692440 1.086694 1.133231 1.137644 49.994955 1.001847 0.999960 1.012247 1.001607 1.000000 2.028694 0.000943 0.000000 23.200000 9.550288 -9429.881941 0.091957
1.400000e+01 132653.859538 72386.201303 9281.310961 72435.352356 15029.112822 87.972438 1062.587942 1384.896738 1511.710335 76766.567381 24506.435853 244545.222055 2487.312695 329948.155458 2477.846284 19629.315353 1019470.194595 1034833.548556 2447051.251994 2447.015183 1246347.542795 4255548.778287 5145448.514018 61456736.861678 742616.137036 42651325.634737 19223446.744984 2082098.032646 2077810.753220 10525002.888092 41629668.068735 0.000000 4305552963.754966 0.989922 0.987344 0.786875 1.003437 0.985187 1.031734 0.990937 1.013877 0.999563 1.024506 1.001389 0.999268 1.016373 0.999929 1.012505 1.002624 1.127089 0.996038 0.999921 0.999907 0.999686 1.135868 1.692174 1.086433 1.133474 1.137795 51.310177 1.002021 0.999957 1.013043 1.001725 1.000000 2.028742 0.000943 0.000000 23.200000 9.549680 -9423.314683 0.091953
1.500000e+01 132562.977748 72353.776609 9280.546808 72453.046820 15014.054911 87.972428 1061.905274 1384.896738 1511.663265 76756.313966 24508.907500 244532.436754 2490.177164 329946.488709 2480.075250 19632.951463 1019411.096097 1034550.432139 2447037.386661 2446.998752 1246320.465587 4255538.871077 5144638.703438 61441707.079044 742775.235348 42656984.570564 19640258.523833 2082467.966812 2077804.619336 10533173.893620 41634514.975341 0.000000 4305647705.854937 0.989243 0.986902 0.786810 1.003682 0.984200 1.031734 0.990300 1.013877 0.999532 1.024369 1.001490 0.999216 1.017543 0.999924 1.013416 1.002809 1.127024 0.995766 0.999916 0.999900 0.999664 1.135865 1.691908 1.086167 1.133717 1.137946 52.422708 1.002199 0.999954 1.013829 1.001841 1.000000 2.028787 0.000944 0.000000 23.200000 9.549071 -9416.790614 0.091950
1.600000e+01 132472.687510 72321.919694 9279.782973 72470.735904 14999.137586 87.972418 1061.224144 1384.896738 1511.616196 76746.063726 24511.379050 244519.641581 2493.044817 329944.822028 2482.309517 19636.587970 1019352.082514 1034267.481404 2447023.511930 2446.982296 1246293.389077 4255528.967461 5143827.096492 61426490.621644 742934.354305 42662649.250556 19996526.749493 2082847.273023 2077798.485565 10541259.610883 41639331.241577 0.000000 4305736844.073628 0.988570 0.986467 0.786745 1.003927 0.983222 1.031734 0.989665 1.013877 0.999501 1.024232 1.001591 0.999163 1.018715 0.999919 1.014329 1.002995 1.126959 0.995493 0.999910 0.999893 0.999642 1.135863 1.691641 1.085898 1.133960 1.138097 53.373640 1.002381 0.999951 1.014607 1.001957 1.000000 2.028829 0.000944 0.000000 23.200000 9.548464 -9410.309011 0.091947
1.700000e+01 132382.979238 72290.616490 9279.019456 72488.419056 14984.358719 87.972408 1060.544546 1384.896738 1511.569127 76735.816475 24513.850490 244506.836417 2495.915653 329943.155408 2484.549092 19640.224870 1019293.147901 1033984.693122 2447009.627806 2446.965814 1246266.310096 4255519.064905 5143013.836527 61411128.129334 743093.490768 42668317.088395 20303995.806787 2083235.881056 2077792.354815 10549269.401422 41644118.427175 0.000000 4305821487.945961 0.987900 0.986040 0.786681 1.004172 0.982253 1.031734 0.989031 1.013877 0.999469 1.024095 1.001692 0.999111 1.019888 0.999914 1.015244 1.003181 1.126893 0.995221 0.999904 0.999886 0.999620 1.135860 1.691374 1.085627 1.134203 1.138248 54.194320 1.002568 0.999949 1.015378 1.002073 1.000000 2.028869 0.000944 0.000000 23.200000 9.547856 -9403.869185 0.091944
1.800000e+01 132293.843757 72259.853391 9278.256256 72506.096867 14969.716223 87.972398 1059.866475 1384.896738 1511.522058 76725.572204 24516.321802 244494.021162 2498.789671 329941.488847 2486.793983 19643.862160 1019234.287664 1033702.068055 2446995.734293 2446.949308 1246239.230553 4255509.163410 5142199.036580 61395649.068680 743252.642514 42673986.046285 20571695.898740 2083633.691024 2077786.225326 10557210.896089 41648877.957742 0.000000 4305902467.830014 0.987235 0.985621 0.786616 1.004417 0.981293 1.031734 0.988399 1.013877 0.999438 1.023959 1.001793 0.999059 1.021063 0.999909 1.016161 1.003367 1.126828 0.994949 0.999899 0.999880 0.999599 1.135857 1.691106 1.085353 1.134446 1.138399 54.908850 1.002760 0.999946 1.016143 1.002187 1.000000 2.028907 0.000944 0.000000 23.200000 9.547249 -9397.470478 0.091941
1.900000e+01 132203.282833 72228.746252 9277.495770 72523.702229 14955.103059 87.972388 1059.158337 1384.896738 1511.473909 76715.194157 24518.865790 244480.860144 2501.689928 329939.822734 2489.109060 19647.605506 1019174.926839 1033419.153964 2446981.561527 2446.932660 1246212.105847 4255499.148263 5141382.413996 61379993.515301 743413.325258 42679735.195018 20806576.644217 2084041.189847 2077780.087076 10565088.936287 41653615.275836 0.000000 4305980509.071698 0.986559 0.985196 0.786552 1.004661 0.980335 1.031734 0.987738 1.013877 0.999407 1.023820 1.001897 0.999005 1.022248 0.999904 1.017107 1.003558 1.126763 0.994677 0.999893 0.999873 0.999577 1.135855 1.690837 1.085076 1.134691 1.138553 55.535781 1.002956 0.999943 1.016901 1.002301 1.000000 2.028944 0.000945 0.000000 23.200000 9.546642 -9390.969443 0.091937
